"created_at","id","text","user_id","user_name","user_screen_name","user_location","user_followers_count","user_friends_count","user_created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"
"Tue May 03 21:39:41 +0000 2016","727613625742004200","Starving and only food in the house is for the cat","605847156","fazz","sam_farrington1","Wolverhampton","242","233","Mon Jun 11 21:34:53 +0000 2012","null","C0DEED","http://pbs.twimg.com/profile_images/619086247013822464/aCdwJBHN_normal.jpg","null","null","null"
"Tue May 03 21:39:41 +0000 2016","727613627755339800","RT @harunamakaveli: if you no chop wetin u wan do @Roukyoo: I spend too much money on food.","864366410","The Buzzard","Roukyoo","Above You","561","397","Sat Oct 06 08:43:58 +0000 2012","null","C0DEED","http://pbs.twimg.com/profile_images/683556076164354048/cW0NaOMb_normal.jpg","null","null","null"
"Tue May 03 21:39:41 +0000 2016","727613627788824600","Watch out for this...Dangerous Food Combination https://t.co/0r1dr6iTEy via @AnneZ1","21714948","AnnePrepforNewEarth™","AnneZ1","England","368","302","Tue Feb 24 01:05:44 +0000 2009","Central Time (US & Canada)","BADFCD","http://pbs.twimg.com/profile_images/618227548821045248/ptfdtKG0_normal.jpg","null","null","null"
"Wed May 04 00:21:17 +0000 2016","727654293185171500","RT @_CollegeHumor_: Last minute papers due, finals coming up, lowkey becomin broke from food &amp; fun, studying but can't focus https://t.co/s…","1138724881","Mary Delaney","Mry_Dlany","null","109","228","Fri Feb 01 04:40:00 +0000 2013","Eastern Time (US & Canada)","C0DEED","http://pbs.twimg.com/profile_images/699096608227663872/SZ8TubkL_normal.jpg","null","null","null"
"Wed May 04 00:21:17 +0000 2016","727654292996378600","I love food.","274284445","Chase Santiago","ChaseSantiago","null","730","1117","Wed Mar 30 02:21:15 +0000 2011","Atlantic Time (Canada)","C0DEED","http://pbs.twimg.com/profile_images/709143456720035840/u_1EnEMc_normal.jpg","null","null","null"
"Wed May 04 00:21:17 +0000 2016","727654295160664000","RT @SenWarren: Fast food workers, janitors, grocery clerks – anyone is called a "manager" to avoid overtime. It’s crazy. #overdueOT https:/…","3567822257","Ali","Alichatcat","null","14","114","Sun Sep 06 16:18:37 +0000 2015","null","C0DEED","http://pbs.twimg.com/profile_images/640566234631770112/HEuj0Zct_normal.jpg","null","null","null"
"Wed May 04 00:21:18 +0000 2016","727654297169584100",".....(Doesn't know what this "food" stuff is.)","726858989900718100","Alesha Garcia","GentleGolem","Mobius","55","317","Sun May 01 19:41:02 +0000 2016","null","F5F8FA","http://pbs.twimg.com/profile_images/726861140685246468/IQroz8Qo_normal.jpg","null","null","null"
"Wed May 04 00:21:17 +0000 2016","727654294925758500","Made all this food only to be eating it alone :(","974992596","ashley salcedo","ashley1731_","NJ✈️FL","1621","1506","Wed Nov 28 00:03:02 +0000 2012","Eastern Time (US & Canada)","E50EF0","http://pbs.twimg.com/profile_images/727245190336004096/5mShoigT_normal.jpg","null","null","null"
"Wed May 04 03:34:35 +0000 2016","727702939880464400","RT @johnny_beisbol8: Way Way Up Live Freestyle Week #4

@30SecondRaps hi. https://t.co/q9xHjIKQTK","2261925302","Michaela Wegner","michaela_wegner","null","241","265","Wed Dec 25 21:28:54 +0000 2013","null","C0DEED","http://pbs.twimg.com/profile_images/726254665982046208/5Bausmu1_normal.jpg","null","null","null"
"Wed May 04 03:34:35 +0000 2016","727702940467634200","@ogcode_ @OGBaugh @tagtuesdays hi","3292010385",".","Joelpecinaa1","null","370","279","Wed May 20 22:48:36 +0000 2015","null","C0DEED","http://pbs.twimg.com/profile_images/724863495842480129/Xb4lhAMP_normal.jpg","null","null","null"
"Wed May 04 03:34:36 +0000 2016","727702942938239000","@MeghanKEdmonds hi Meghan!  Have you heard of #DonorsChoose? Teachers need your help spreading the word!https://t.co/2MTopc9Wpr","4916343760","Suzanne Williams","SFWilliams11","North Carolina, USA","308","621","Mon Feb 15 23:04:26 +0000 2016","null","7FDBB6","http://pbs.twimg.com/profile_images/701041789185236992/CeMzOqL5_normal.jpg","null","null","null"
